dayofweek,exposure,repeat,category,midcategory,subcategory,sex,price,installment,mother_code,count
1,20.0,1,6,72,50,0,39900.0,2,100346,52.60651629072682
1,20.0,1,6,72,50,1,39900.0,2,100346,109.54887218045113
1,20.0,2,6,72,50,0,39900.0,2,100346,81.75438596491226
1,20.0,2,6,72,50,1,39900.0,2,100346,174.31077694235591
1,20.0,3,6,72,50,0,39900.0,2,100346,167.21804511278197
1,20.0,3,6,72,50,1,39900.0,2,100346,234.01002506265664
1,20.0,1,5,123,403,2,59000.0,2,100305,115.57627118644069
1,20.0,2,5,123,403,2,59000.0,2,100305,265.91525423728814
1,20.0,3,5,123,403,2,59000.0,2,100305,430.0
1,20.0,1,6,127,201,0,59900.0,2,100808,269.3322203672788
1,20.0,2,6,127,201,0,59900.0,2,100808,501.8530884808013
1,20.0,3,6,127,201,0,59900.0,2,100808,893.8564273789649
1,20.0,1,6,108,308,2,79000.0,2,100816,203.48101265822785
1,20.0,2,6,108,308,2,79000.0,2,100816,324.40506329113924
1,20.0,3,6,108,308,2,79000.0,2,100816,623.6708860759494
1,20.0,1,6,72,50,0,79900.0,2,100809,610.7509386733418
1,20.0,2,6,72,50,0,79900.0,2,100809,1225.369211514393
1,20.0,3,6,72,50,0,79900.0,2,100809,1413.9173967459326
1,20.0,1,5,123,197,2,69900.0,2,100664,350.9442060085837
1,20.0,2,5,123,197,2,69900.0,2,100664,712.8612303290414
1,20.0,1,10,156,229,2,60900.0,2,100088,555.3858784893267
1,20.0,2,10,156,229,2,60900.0,2,100088,970.1642036124796
1,20.0,3,10,156,229,2,60900.0,2,100088,1629.4745484400655
1,30.0,1,5,123,292,2,109000.0,2,100305,296.08256880733944
1,30.0,2,5,123,292,2,109000.0,2,100305,727.2752293577981
1,30.0,1,6,157,230,0,119000.0,2,100377,94.69747899159664
1,30.0,1,6,157,230,1,119000.0,2,100377,175.1344537815126
1,30.0,2,6,157,230,0,119000.0,2,100377,340.5546218487395
1,30.0,2,6,157,230,1,119000.0,2,100377,397.4285714285714
1,20.0,1,3,130,214,2,60900.0,2,100496,231.7405582922825
1,20.0,2,3,130,214,2,60900.0,2,100496,531.9376026272579
1,20.0,3,3,130,214,2,60900.0,2,100496,651.3793103448277
1,20.0,1,3,139,20,2,49900.0,2,100322,1218.1763527054109
1,20.0,2,3,139,20,2,49900.0,2,100322,2313.7675350701397
1,20.0,1,3,138,401,2,61000.0,2,100849,1375.295081967213
1,20.0,1,7,64,406,2,39800.0,2,100074,1061.2814070351758
1,20.0,2,7,64,406,2,39800.0,2,100074,1846.5829145728644
1,20.0,3,7,64,406,2,39800.0,2,100074,2691.030150753769
1,20.0,1,3,139,210,2,39900.0,2,100435,1479.9498746867166
1,20.0,2,3,139,210,2,39900.0,2,100435,2153.809523809524
1,20.0,3,3,139,210,2,39900.0,2,100435,2543.0576441102758
1,20.0,1,5,123,197,2,119000.0,2,100607,307.73109243697485
1,20.0,2,5,123,197,2,119000.0,2,100607,582.7647058823529
1,20.0,3,5,123,197,2,119000.0,2,100607,711.0084033613446
1,20.0,1,1,9,9,2,439000.0,0,100150,80.90888382687928
1,20.0,1,1,9,9,2,489000.0,1,100150,39.10633946830266
1,20.0,2,1,9,9,2,439000.0,0,100150,129.51936218678816
1,20.0,2,1,9,9,2,489000.0,1,100150,120.01022494887528
1,20.0,3,1,9,9,2,439000.0,0,100150,155.626423690205
1,20.0,3,1,9,9,2,489000.0,1,100150,94.20858895705521
1,20.0,1,6,157,446,2,499000.0,2,100049,32.789579158316634
1,20.0,2,6,157,446,2,499000.0,2,100049,107.79759519038076
1,20.0,3,6,157,446,2,499000.0,2,100049,169.4629258517034
1,30.0,1,6,157,230,2,299000.0,2,100271,127.314381270903
1,30.0,2,6,157,230,2,299000.0,2,100271,260.0802675585284
1,20.0,1,5,123,197,2,89900.0,2,100718,256.674082313682
1,20.0,2,5,123,197,2,89900.0,2,100718,438.8431590656285
1,20.0,3,5,123,197,2,89900.0,2,100718,667.519466073415
2,20.0,1,6,72,50,0,69900.0,2,100377,87.01001430615166
2,20.0,1,6,72,50,1,69900.0,2,100377,92.20314735336193
2,20.0,2,6,72,50,0,69900.0,2,100377,171.45922746781116
2,20.0,2,6,72,50,1,69900.0,2,100377,121.47353361945636
2,20.0,3,6,72,50,0,69900.0,2,100377,235.49356223175965
2,20.0,3,6,72,50,1,69900.0,2,100377,152.23175965665237
2,20.0,1,5,123,197,2,69900.0,2,100193,138.01144492131615
2,20.0,2,5,123,197,2,69900.0,2,100193,221.97424892703862
2,17.0,3,5,123,197,2,69900.0,2,100193,267.45350500715307
2,20.0,1,4,107,83,2,29800.0,2,100229,322.31543624161066
2,20.0,2,4,107,83,2,29800.0,2,100229,378.020134228188
2,20.0,3,4,107,83,2,29800.0,2,100229,482.248322147651
2,20.0,1,2,92,297,2,69000.0,2,100315,216.5797101449276
2,20.0,2,2,92,297,2,69000.0,2,100315,375.0869565217391
2,20.0,3,2,92,297,2,69000.0,2,100315,436.60869565217394
2,20.0,1,5,123,403,2,59000.0,2,100305,191.7627118644068
2,20.0,2,5,123,403,2,59000.0,2,100305,362.66101694915255
2,20.0,3,5,123,403,2,59000.0,2,100305,590.2033898305085
2,20.0,1,6,133,419,2,39900.0,2,100454,315.96491228070175
2,20.0,2,6,133,419,2,39900.0,2,100454,577.4937343358396
2,20.0,3,6,133,419,2,39900.0,2,100454,963.6340852130327
2,20.0,1,10,24,389,2,158000.0,0,100448,45.81645569620254
2,20.0,1,10,24,389,2,168000.0,1,100448,53.279761904761905
2,20.0,1,10,24,118,2,148000.0,0,100448,14.310810810810812
2,20.0,1,10,24,118,2,158000.0,1,100448,14.316455696202533
2,20.0,2,10,24,389,2,158000.0,0,100448,172.29746835443038
2,20.0,2,10,24,389,2,168000.0,1,100448,77.82142857142857
2,20.0,2,10,24,118,2,148000.0,0,100448,63.567567567567565
2,20.0,2,10,24,118,2,158000.0,1,100448,28.525316455696203
2,20.0,3,10,24,389,2,158000.0,0,100448,281.50632911392404
2,20.0,3,10,24,389,2,168000.0,1,100448,112.6488095238095
2,20.0,3,10,24,118,2,148000.0,0,100448,88.0
2,20.0,3,10,24,118,2,158000.0,1,100448,21.31645569620253
2,30.0,1,6,157,230,2,299000.0,2,100271,99.54180602006687
2,30.0,2,6,157,230,2,299000.0,2,100271,222.04682274247486
2,20.0,1,10,67,53,2,238000.0,1,100765,42.466386554621856
2,20.0,1,10,67,53,2,228000.0,0,100765,9.956140350877194
2,20.0,1,10,67,358,2,218000.0,1,100765,6.738532110091742
2,20.0,1,10,67,358,2,208000.0,0,100765,13.254807692307693
2,20.0,2,10,67,53,2,238000.0,1,100765,74.79411764705883
2,20.0,2,10,67,53,2,228000.0,0,100765,77.77192982456141
2,20.0,2,10,67,358,2,218000.0,1,100765,48.747706422018354
2,20.0,2,10,67,358,2,208000.0,0,100765,22.74519230769231
2,20.0,3,10,67,53,2,238000.0,1,100765,106.98319327731093
2,20.0,3,10,67,53,2,228000.0,0,100765,93.98245614035088
2,20.0,3,10,67,358,2,218000.0,1,100765,29.28440366972477
2,20.0,3,10,67,358,2,208000.0,0,100765,19.6875
2,20.0,1,3,139,33,2,32900.0,2,100844,899.6656534954407
2,20.0,2,3,139,33,2,32900.0,2,100844,1242.613981762918
2,20.0,3,3,139,33,2,32900.0,2,100844,1290.759878419453
2,30.0,1,5,123,292,2,109000.0,2,100305,261.06422018348616
2,30.0,2,5,123,292,2,109000.0,2,100305,521.1009174311927
2,20.0,1,3,139,378,2,30900.0,2,100253,1350.2265372168285
2,20.0,2,3,139,378,2,30900.0,2,100253,1396.990291262136
2,20.0,3,3,139,378,2,30900.0,2,100253,2275.7928802588995
2,20.0,1,3,130,69,2,30900.0,2,100722,386.116504854369
2,20.0,1,3,130,21,2,30900.0,2,100722,216.63430420711973
2,20.0,2,3,130,69,2,30900.0,2,100722,549.6116504854368
2,20.0,2,3,130,21,2,30900.0,2,100722,315.3398058252427
2,20.0,3,3,130,69,2,30900.0,2,100722,612.6537216828477
2,20.0,3,3,130,21,2,30900.0,2,100722,361.8446601941748
2,20.0,1,3,139,255,2,59900.0,2,100801,515.9098497495827
2,20.0,2,3,139,255,2,59900.0,2,100801,835.6594323873123
2,20.0,3,3,139,255,2,59900.0,2,100801,821.9866444073456
2,20.0,1,10,79,66,2,89800.0,2,100231,249.6881959910913
2,20.0,2,10,79,66,2,89800.0,2,100231,376.5812917594655
2,20.0,3,10,79,66,2,89800.0,2,100231,499.0423162583519
2,20.0,1,3,139,287,2,59900.0,2,100491,433.80634390651085
2,20.0,2,3,139,287,2,59900.0,2,100491,611.8030050083472
2,20.0,3,3,139,287,2,59900.0,2,100491,1099.382303839733
2,20.0,1,5,59,398,2,89000.0,2,100610,207.01123595505607
2,20.0,1,5,16,14,2,89000.0,2,100610,4.741573033707866
2,20.0,1,5,87,420,2,89000.0,2,100610,16.921348314606742
2,20.0,2,5,59,398,2,89000.0,2,100610,461.75280898876406
2,20.0,2,5,16,14,2,89000.0,2,100610,28.932584269662925
2,20.0,2,5,87,420,2,89000.0,2,100610,41.12359550561798
2,20.0,3,5,59,398,2,89000.0,2,100610,594.2134831460675
2,20.0,3,5,16,14,2,89000.0,2,100610,34.03370786516854
2,20.0,3,5,87,420,2,89000.0,2,100610,46.68539325842696
2,20.0,1,1,38,34,2,1409000.0,0,100155,10.280340667139816
2,20.0,1,1,38,34,2,1549000.0,1,100155,7.737895416397675
2,20.0,2,1,38,34,2,1409000.0,0,100155,17.964513839602553
2,20.0,2,1,38,34,2,1549000.0,1,100155,7.721110393802452
2,20.0,3,1,38,34,2,1409000.0,0,100155,15.421575585521646
2,20.0,3,1,38,34,2,1549000.0,1,100155,15.426081342801805
2,20.0,1,1,113,335,2,1300000.0,0,100148,2.4438461538461542
2,20.0,1,1,113,22,2,1900000.0,0,100148,7.261052631578948
2,20.0,1,1,113,22,2,2130000.0,1,100148,4.849295774647888
2,20.0,2,1,113,335,2,1300000.0,0,100148,2.4438461538461542
2,20.0,2,1,113,335,2,1440000.0,1,100148,2.4590277777777776
2,20.0,2,1,113,22,2,1900000.0,0,100148,16.90684210526316
2,20.0,2,1,113,22,2,2130000.0,1,100148,2.436150234741784
2,20.0,3,1,113,335,2,1300000.0,0,100148,4.85
2,20.0,3,1,113,335,2,1440000.0,1,100148,4.849305555555556
2,20.0,3,1,113,22,2,1900000.0,0,100148,19.33157894736842
2,20.0,3,1,113,22,2,2130000.0,1,100148,7.261971830985916
2,20.0,3,1,113,334,2,2990000.0,1,100148,4.857190635451505
2,20.0,1,5,123,197,2,79900.0,2,100664,363.5544430538173
2,20.0,2,5,123,197,2,79900.0,2,100664,578.5231539424279
2,20.0,3,5,123,197,2,79900.0,2,100664,391.71464330413016
3,20.0,1,6,72,50,0,39900.0,2,100346,183.6842105263157
3,20.0,1,6,72,50,1,39900.0,2,100346,302.0050125313283
3,20.0,2,6,72,50,0,39900.0,2,100346,262.6817042606517
3,20.0,2,6,72,50,1,39900.0,2,100346,564.4110275689222
3,20.0,1,5,49,47,2,59000.0,2,100613,223.47457627118644
3,20.0,2,5,49,47,2,59000.0,2,100613,294.0338983050848
3,17.0,3,5,49,47,2,59000.0,2,100613,422.2033898305085
3,20.0,1,9,7,100,1,39800.0,2,100781,61.55778894472362
3,20.0,1,9,7,100,0,49800.0,2,100781,53.11244979919679
3,20.0,2,9,7,100,1,39800.0,2,100781,140.92964824120602
3,20.0,2,9,7,100,0,49800.0,2,100781,77.79116465863454
3,20.0,3,9,7,100,1,39800.0,2,100781,227.2613065326633
3,20.0,3,9,7,100,0,49800.0,2,100781,123.73493975903614
3,20.0,1,3,139,99,2,39900.0,2,100582,514.937343358396
3,20.0,2,3,139,99,2,39900.0,2,100582,674.6115288220551
3,20.0,3,3,139,99,2,39900.0,2,100582,881.0275689223057
3,20.0,1,7,131,340,2,79000.0,2,100774,172.97468354430382
3,20.0,2,7,131,340,2,79000.0,2,100774,339.08860759493666
3,20.0,3,7,131,340,2,79000.0,2,100774,458.3291139240506
3,20.0,1,9,73,302,2,39000.0,2,100600,449.1794871794871
3,20.0,2,9,73,302,2,39000.0,2,100600,499.6923076923077
3,20.0,3,9,73,302,2,39000.0,2,100600,929.5641025641023
3,30.0,1,5,123,292,2,109000.0,2,100305,300.5779816513761
3,30.0,2,5,123,292,2,109000.0,2,100305,643.4862385321102
3,20.0,1,6,108,308,2,79000.0,2,100816,212.4683544303797
3,20.0,2,6,108,308,2,79000.0,2,100816,410.0126582278482
3,20.0,3,6,108,308,2,79000.0,2,100816,450.7974683544304
3,20.0,1,2,92,297,2,69000.0,2,100315,267.84057971014494
3,20.0,2,2,92,297,2,69000.0,2,100315,359.1159420289855
3,20.0,3,2,92,297,2,69000.0,2,100315,656.072463768116
3,20.0,1,7,64,406,2,39800.0,2,100074,760.6281407035176
3,20.0,2,7,64,406,2,39800.0,2,100074,1046.9597989949748
3,20.0,3,7,64,406,2,39800.0,2,100074,1125.175879396985
3,20.0,1,10,153,113,2,109800.0,2,100255,207.7959927140255
3,20.0,2,10,153,113,2,109800.0,2,100255,436.6757741347905
3,20.0,3,10,153,113,2,109800.0,2,100255,447.5318761384335
3,20.0,1,10,24,389,2,218000.0,2,100837,60.65137614678899
3,20.0,1,10,24,389,2,208000.0,2,100837,46.42307692307693
3,20.0,1,10,24,118,2,208000.0,2,100837,7.355769230769233
3,20.0,1,10,24,118,2,198000.0,2,100837,21.575757575757574
3,20.0,2,10,24,389,2,218000.0,2,100837,145.9954128440367
3,20.0,2,10,24,389,2,208000.0,2,100837,117.48076923076924
3,20.0,2,10,24,118,2,208000.0,2,100837,25.115384615384606
3,20.0,2,10,24,118,2,198000.0,2,100837,32.217171717171716
3,20.0,3,10,24,389,2,218000.0,2,100837,74.88073394495413
3,20.0,3,10,24,389,2,208000.0,2,100837,121.07692307692308
3,20.0,3,10,24,118,2,208000.0,2,100837,32.177884615384606
3,20.0,3,10,24,118,2,198000.0,2,100837,18.060606060606066
3,20.0,1,3,139,320,2,59900.0,2,100832,444.25709515859774
3,20.0,2,3,139,320,2,59900.0,2,100832,797.2787979966611
3,20.0,3,3,139,320,2,59900.0,2,100832,999.2153589315526
3,20.0,1,3,130,214,2,60900.0,2,100496,268.4729064039409
3,20.0,2,3,130,214,2,60900.0,2,100496,542.1182266009852
3,20.0,3,3,130,214,2,60900.0,2,100496,448.0131362889984
3,20.0,1,3,139,416,2,40900.0,2,100702,732.9095354523226
3,20.0,2,3,139,416,2,40900.0,2,100702,1264.7432762836186
3,20.0,3,3,139,416,2,40900.0,2,100702,1643.0317848410755
3,20.0,1,5,59,398,2,89000.0,2,100610,133.57303370786516
3,20.0,1,5,16,14,2,89000.0,2,100610,21.1123595505618
3,20.0,1,5,54,394,2,89000.0,2,100610,38.41573033707865
3,20.0,2,5,59,398,2,89000.0,2,100610,215.9101123595505
3,20.0,2,5,16,14,2,89000.0,2,100610,80.30337078651685
3,20.0,2,5,54,394,2,89000.0,2,100610,25.30337078651685
3,20.0,3,5,59,398,2,89000.0,2,100610,453.1348314606742
3,20.0,3,5,16,14,2,89000.0,2,100610,54.73033707865169
3,20.0,3,5,54,394,2,89000.0,2,100610,50.08988764044944
3,20.0,1,4,37,286,2,189000.0,2,100501,217.8994708994709
3,20.0,2,4,37,286,2,189000.0,2,100501,444.41798941798936
3,20.0,3,4,37,286,2,189000.0,2,100501,568.3492063492064
3,20.0,1,1,113,335,2,1300000.0,0,100148,4.85
3,20.0,1,1,113,335,2,1440000.0,1,100148,2.4423611111111105
3,20.0,1,1,113,22,2,2130000.0,1,100148,9.67511737089202
3,20.0,1,1,113,334,2,2700000.0,0,100148,2.433703703703704
3,20.0,1,1,113,334,2,2990000.0,1,100148,2.44113712374582
3,20.0,2,1,113,335,2,1300000.0,0,100148,7.255384615384615
3,20.0,2,1,113,335,2,1440000.0,1,100148,7.2569444444444455
3,20.0,2,1,113,22,2,1900000.0,0,100148,4.849473684210526
3,20.0,2,1,113,334,2,2700000.0,0,100148,2.442962962962963
3,20.0,3,1,113,335,2,1300000.0,0,100148,7.292307692307693
3,20.0,3,1,113,335,2,1440000.0,1,100148,12.122222222222225
3,20.0,3,1,113,22,2,1900000.0,0,100148,19.318421052631574
3,20.0,3,1,113,22,2,2130000.0,1,100148,12.099530516431924
3,20.0,3,1,113,334,2,2700000.0,0,100148,2.433703703703704
3,20.0,1,5,123,197,2,89900.0,2,100718,200.55617352614019
3,20.0,2,5,123,197,2,89900.0,2,100718,295.5061179087876
3,20.0,3,5,123,197,2,89900.0,2,100718,474.59399332591767
3,20.0,1,6,72,50,0,69900.0,2,100377,99.07010014306152
3,20.0,1,6,72,50,1,69900.0,2,100377,215.15021459227464
3,20.0,2,6,72,50,0,69900.0,2,100377,198.14020028612305
3,20.0,2,6,72,50,1,69900.0,2,100377,175.59370529327614
3,20.0,3,6,72,50,0,69900.0,2,100377,271.21602288984263
3,20.0,3,6,72,50,1,69900.0,2,100377,180.48640915593705
4,20.0,1,6,157,446,2,499000.0,2,100049,23.070140280561123
4,20.0,2,6,157,446,2,499000.0,2,100049,38.11422845691383
4,20.0,3,6,157,446,2,499000.0,2,100049,53.81162324649298
4,20.0,1,4,107,83,2,29800.0,2,100229,328.1879194630872
4,20.0,2,4,107,83,2,29800.0,2,100229,608.1879194630873
4,17.0,3,4,107,83,2,29800.0,2,100229,703.8255033557048
4,20.0,1,2,154,321,2,74900.0,2,100651,139.3724966622163
4,20.0,2,2,154,321,2,74900.0,2,100651,227.70360480640855
4,20.0,3,2,154,321,2,74900.0,2,100651,583.1775700934579
4,20.0,1,4,110,188,2,49800.0,2,100226,204.13654618473896
4,20.0,2,4,110,188,2,49800.0,2,100226,624.3373493975904
4,20.0,3,4,110,188,2,49800.0,2,100226,731.9879518072287
4,20.0,1,5,77,166,2,89900.0,2,100717,68.09788654060067
4,20.0,2,5,77,166,2,89900.0,2,100717,251.6685205784205
4,20.0,3,5,77,166,2,89900.0,2,100717,379.19911012235815
4,20.0,1,10,67,53,2,238000.0,1,100765,22.857142857142854
4,20.0,1,10,67,53,2,228000.0,0,100765,10.021929824561404
4,20.0,1,10,67,358,2,218000.0,1,100765,6.738532110091742
4,20.0,1,10,67,358,2,208000.0,0,100765,6.745192307692308
4,20.0,2,10,67,53,2,238000.0,1,100765,61.70168067226891
4,20.0,2,10,67,53,2,228000.0,0,100765,35.74561403508772
4,20.0,2,10,67,358,2,218000.0,1,100765,22.761467889908253
4,20.0,2,10,67,358,2,208000.0,0,100765,6.677884615384616
4,20.0,3,10,67,53,2,238000.0,1,100765,97.19327731092436
4,20.0,3,10,67,53,2,228000.0,0,100765,74.41666666666667
4,20.0,3,10,67,358,2,218000.0,1,100765,38.94954128440367
4,20.0,3,10,67,358,2,208000.0,0,100765,13.182692307692307
4,20.0,1,10,24,389,2,218000.0,2,100837,28.674311926605505
4,20.0,1,10,24,389,2,208000.0,2,100837,35.793269230769226
4,20.0,1,10,24,118,2,208000.0,2,100837,14.471153846153848
4,20.0,1,10,24,118,2,198000.0,2,100837,10.914141414141412
4,20.0,2,10,24,389,2,218000.0,2,100837,81.93119266055047
4,20.0,2,10,24,389,2,208000.0,2,100837,60.615384615384606
4,20.0,2,10,24,118,2,198000.0,2,100837,25.141414141414145
4,20.0,3,10,24,389,2,218000.0,2,100837,160.11009174311926
4,20.0,3,10,24,389,2,208000.0,2,100837,142.33653846153842
4,20.0,3,10,24,118,2,208000.0,2,100837,39.30769230769232
4,20.0,3,10,24,118,2,198000.0,2,100837,39.38383838383838
4,30.0,1,5,123,292,2,109000.0,2,100305,257.39449541284404
4,30.0,2,5,123,292,2,109000.0,2,100305,522.5045871559632
4,20.0,1,3,139,378,2,30900.0,2,100253,992.5889967637539
4,20.0,2,3,139,378,2,30900.0,2,100253,1449.5792880258898
4,20.0,3,3,139,378,2,30900.0,2,100253,1619.7087378640774
4,20.0,1,10,153,113,2,109800.0,2,100255,159.6448087431694
4,20.0,2,10,153,113,2,109800.0,2,100255,289.38979963570125
4,20.0,3,10,153,113,2,109800.0,2,100255,390.8743169398906
4,20.0,1,5,123,403,2,59000.0,2,100305,303.8135593220339
4,20.0,2,5,123,403,2,59000.0,2,100305,531.2881355932203
4,20.0,3,5,123,403,2,59000.0,2,100305,643.9322033898304
4,20.0,1,3,130,214,2,50900.0,2,100199,561.5127701375245
4,20.0,2,3,130,214,2,50900.0,2,100199,639.3713163064832
4,20.0,3,3,130,214,2,50900.0,2,100199,1213.6345776031435
4,20.0,1,3,139,33,2,32900.0,2,100844,806.3829787234042
4,20.0,2,3,139,33,2,32900.0,2,100844,1233.0699088145896
4,20.0,3,3,139,33,2,32900.0,2,100844,1468.4194528875382
4,20.0,1,10,79,66,2,89800.0,2,100231,222.271714922049
4,20.0,2,10,79,66,2,89800.0,2,100231,419.75501113585744
4,20.0,3,10,79,66,2,89800.0,2,100231,594.4432071269488
4,20.0,1,3,139,287,2,59900.0,2,100491,513.4223706176962
4,20.0,2,3,139,287,2,59900.0,2,100491,731.1686143572621
4,20.0,3,3,139,287,2,59900.0,2,100491,1109.1986644407343
4,20.0,1,1,9,9,2,439000.0,0,100150,45.2733485193622
4,20.0,1,1,9,9,2,489000.0,1,100150,29.20245398773006
4,20.0,2,1,9,9,2,439000.0,0,100150,48.651480637813215
4,20.0,2,1,9,9,2,489000.0,1,100150,84.44171779141105
4,20.0,3,1,9,9,2,439000.0,0,100150,103.4874715261959
4,20.0,3,1,9,9,2,489000.0,1,100150,55.20654396728016
4,20.0,1,7,64,406,2,39800.0,2,100074,838.9949748743719
4,20.0,2,7,64,406,2,39800.0,2,100074,1227.0854271356786
4,20.0,3,7,64,406,2,39800.0,2,100074,1989.6231155778887
4,20.0,1,5,123,197,2,79900.0,2,100664,290.41301627033795
4,20.0,2,5,123,197,2,79900.0,2,100664,508.1476846057572
4,20.0,3,5,123,197,2,79900.0,2,100664,610.9136420525658
4,20.0,1,6,72,50,0,69900.0,2,100377,128.02575107296136
4,20.0,1,6,72,50,1,69900.0,2,100377,109.71387696709586
4,20.0,2,6,72,50,0,69900.0,2,100377,208.74105865522168
4,20.0,2,6,72,50,1,69900.0,2,100377,191.61659513590843
4,20.0,3,6,72,50,0,69900.0,2,100377,462.24606580829766
4,20.0,3,6,72,50,1,69900.0,2,100377,360.97281831187416
4,30.0,1,6,157,230,2,299000.0,2,100271,60.06020066889632
4,30.0,2,6,157,230,2,299000.0,2,100271,206.6454849498328
5,20.0,1,7,64,340,2,49900.0,2,100212,217.9158316633266
5,20.0,2,7,64,340,2,49900.0,2,100212,483.8076152304609
5,20.0,3,7,64,340,2,49900.0,2,100212,470.18036072144287
5,20.0,1,9,112,312,2,129000.0,0,100293,116.79844961240309
5,20.0,1,9,112,312,2,139000.0,1,100293,49.330935251798564
5,20.0,2,9,112,312,2,129000.0,0,100293,233.45736434108528
5,20.0,2,9,112,312,2,139000.0,1,100293,111.94964028776978
5,17.0,3,9,112,312,2,129000.0,0,100293,159.9457364341085
5,17.0,3,9,112,312,2,139000.0,1,100293,61.115107913669064
5,20.0,1,7,111,250,2,50900.0,2,100267,97.76031434184677
5,20.0,2,7,111,250,2,50900.0,2,100267,231.51277013752457
5,20.0,3,7,111,250,2,50900.0,2,100267,360.4715127701375
5,20.0,1,6,145,219,0,79000.0,2,100222,43.41772151898734
5,20.0,1,6,145,219,1,79000.0,2,100222,48.24050632911394
5,20.0,2,6,145,219,0,79000.0,2,100222,138.0253164556962
5,20.0,2,6,145,219,1,79000.0,2,100222,105.39240506329115
5,20.0,3,6,145,219,0,79000.0,2,100222,201.0632911392405
5,20.0,3,6,145,219,1,79000.0,2,100222,89.51898734177216
5,20.0,1,6,109,309,2,39900.0,2,100761,417.3934837092732
5,20.0,2,6,109,309,2,39900.0,2,100761,941.2280701754387
5,20.0,3,6,109,309,2,39900.0,2,100761,1607.1177944862154
5,30.0,1,5,123,44,2,59000.0,2,100305,732.9322033898303
5,30.0,2,5,123,44,2,59000.0,2,100305,1500.050847457627
5,20.0,1,6,108,308,2,79000.0,2,100816,231.35443037974684
5,20.0,2,6,108,308,2,79000.0,2,100816,351.11392405063293
5,20.0,3,6,108,308,2,79000.0,2,100816,448.8101265822786
5,20.0,1,6,127,201,0,59900.0,2,100808,466.0100166944909
5,20.0,2,6,127,201,0,59900.0,2,100808,773.7395659432386
5,20.0,3,6,127,201,0,59900.0,2,100808,1327.8797996661099
5,20.0,1,10,79,66,2,89800.0,2,100231,289.44320712694883
5,20.0,2,10,79,66,2,89800.0,2,100231,578.0178173719377
5,20.0,3,10,79,66,2,89800.0,2,100231,859.8997772828508
5,20.0,1,10,156,229,2,60900.0,2,100088,610.2134646962234
5,20.0,2,10,156,229,2,60900.0,2,100088,1099.425287356322
5,20.0,3,10,156,229,2,60900.0,2,100088,1140.1313628899836
5,20.0,1,1,9,9,2,439000.0,0,100150,42.04783599088838
5,20.0,1,1,9,9,2,489000.0,1,100150,16.26993865030675
5,20.0,2,1,9,9,2,439000.0,0,100150,51.87699316628702
