,year,month,date,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm)
0,2019,1,1,-2.1,-5.8,2.1,0.1
1,2019,1,2,-2.5,-7.0,3.2,0.0
2,2019,1,3,-2.1,-7.7,5.0,0.0
3,2019,1,4,-0.7,-7.3,5.3,0.0
4,2019,1,5,0.2,-4.6,5.3,0.0
5,2019,1,6,-1.3,-6.1,5.7,0.0
6,2019,1,7,-0.5,-6.3,5.5,0.0
7,2019,1,8,-0.7,-4.8,4.2,0.0
8,2019,1,9,-2.9,-8.0,2.9,0.0
9,2019,1,10,0.5,-3.4,5.1,0.0
10,2019,1,11,2.1,-3.4,8.1,0.0
11,2019,1,12,3.0,-0.3,7.5,2.4
12,2019,1,13,1.3,-3.2,8.2,0.0
13,2019,1,14,1.0,-4.1,7.5,0.0
14,2019,1,15,0.9,-3.9,6.1,0.1
15,2019,1,16,-3.2,-7.9,1.7,0.0
16,2019,1,17,0.4,-4.0,5.4,0.0
17,2019,1,18,0.8,-5.1,8.1,0.0
18,2019,1,19,2.9,-2.7,9.3,0.2
19,2019,1,20,1.6,-2.8,5.5,0.1
20,2019,1,21,0.5,-5.5,6.2,0.0
21,2019,1,22,2.6,-3.2,9.0,0.0
22,2019,1,23,3.1,-2.2,9.6,0.0
23,2019,1,24,0.7,-5.2,8.2,0.0
24,2019,1,25,-0.4,-5.1,5.5,0.0
25,2019,1,26,-1.8,-6.2,3.7,0.0
26,2019,1,27,-0.2,-7.8,7.1,0.0
27,2019,1,28,2.6,-2.6,7.2,0.2
28,2019,1,29,0.0,-6.5,8.1,0.0
29,2019,1,30,3.5,-3.1,10.1,0.0
30,2019,1,31,0.3,-3.8,4.7,4.9
31,2019,2,1,-1.3,-6.7,4.1,0.0
32,2019,2,2,2.1,-4.8,8.5,0.0
33,2019,2,3,5.6,2.6,9.8,12.8
34,2019,2,4,2.5,-1.5,6.8,0.0
35,2019,2,5,2.9,-4.1,11.0,0.0
36,2019,2,6,5.6,-1.2,12.9,0.0
37,2019,2,7,2.1,-3.9,7.4,0.5
38,2019,2,8,-2.0,-5.9,3.2,0.0
39,2019,2,9,-1.7,-4.2,1.7,0.0
40,2019,2,10,-1.4,-6.3,3.2,0.0
41,2019,2,11,-0.8,-4.7,3.9,0.0
42,2019,2,12,0.1,-6.0,6.0,0.0
43,2019,2,13,0.3,-4.1,5.3,0.0
44,2019,2,14,0.6,-3.7,6.5,0.1
45,2019,2,15,2.0,-1.5,6.0,0.4
46,2019,2,16,-0.3,-3.5,3.3,0.1
47,2019,2,17,-0.2,-5.7,6.3,0.0
48,2019,2,18,2.2,-4.4,7.5,0.1
49,2019,2,19,2.9,0.6,5.7,16.3
50,2019,2,20,2.8,-0.5,7.0,0.0
51,2019,2,21,2.7,-2.7,9.4,0.0
52,2019,2,22,3.9,-1.5,11.1,0.0
53,2019,2,23,5.0,-1.3,13.2,0.0
54,2019,2,24,6.1,-1.5,14.3,0.0
55,2019,2,25,6.0,0.8,12.8,0.0
56,2019,2,26,5.4,-1.5,12.8,0.0
57,2019,2,27,7.1,3.4,11.8,0.4
58,2019,2,28,6.8,1.4,13.4,0.1
59,2019,3,1,6.0,-0.3,13.7,0.0
60,2019,3,2,6.9,-0.8,14.6,0.0
61,2019,3,3,8.7,2.4,14.8,0.0
62,2019,3,4,8.8,3.9,15.2,0.0
63,2019,3,5,8.2,1.2,14.4,0.0
64,2019,3,6,8.8,4.7,14.3,1.0
65,2019,3,7,6.5,2.1,12.1,0.5
66,2019,3,8,6.1,-1.3,14.5,0.0
67,2019,3,9,7.9,-1.0,16.1,0.3
68,2019,3,10,7.8,3.8,11.9,7.9
69,2019,3,11,6.4,0.7,11.9,1.1
70,2019,3,12,5.8,0.9,11.9,0.9
71,2019,3,13,3.9,-1.5,9.4,0.0
72,2019,3,14,5.2,-2.4,11.8,0.0
73,2019,3,15,5.8,1.0,12.3,3.3
74,2019,3,16,5.8,1.4,11.1,0.2
75,2019,3,17,6.6,1.1,13.1,0.0
76,2019,3,18,7.5,-0.7,15.0,0.0
77,2019,3,19,10.7,2.2,19.0,0.0
78,2019,3,20,11.4,5.3,17.2,16.1
79,2019,3,21,9.8,4.5,15.0,2.1
80,2019,3,22,5.2,1.6,10.5,0.0
81,2019,3,23,4.2,-0.3,10.3,1.4
82,2019,3,24,4.7,-2.1,11.3,0.0
83,2019,3,25,7.2,0.4,13.8,0.0
84,2019,3,26,10.5,3.2,18.7,0.0
85,2019,3,27,12.8,4.8,19.9,0.1
86,2019,3,28,10.6,6.6,16.1,0.6
87,2019,3,29,10.6,5.0,17.0,0.0
